Gene_Symbol,Mean_T1D,Mean_Control,Log2FC,P_Value,FDR
EGR2,8.109364592497297,5.992419015284046,2.116945577213251,4.6156424402361006e-10,6.23804075797909e-06
EGR3,8.060460409206,6.9307106173212105,1.1297497918847892,3.42913361664998e-09,2.317237041451224e-05
IL1B,9.81471560194685,8.54120594562814,1.2735096563187085,1.0247441715284547e-07,0.0004616472492735688
PTP4A2,12.169470655797946,12.452523800632294,-0.28305314483434785,2.2257152521923475e-07,0.0007520135408344894
FRAT2,9.71316494620539,9.065794536279382,0.6473704099260083,3.1678772777017956e-07,0.0008562772281627953
SLC35A3,8.207992458162892,8.642449766669726,-0.4344573085068344,4.649151865628151e-07,0.001047221457732741
PNP,10.152165397237232,9.609726401548853,0.5424389956883786,8.066751138024196e-07,0.0015574591661485285
CHFR,10.06799989256818,10.3230625944634,-0.25506270189521985,1.508775194909258e-06,0.0025488870948998277
SKP2,7.202071621276584,6.864717357625273,0.33735426365131094,3.1212375522951822e-06,0.004687058391029932
HNRNPD,10.554760162764309,10.837938987747862,-0.28317882498355296,6.548797947401626e-06,0.00843668008265974
ATXN2L,6.801338859985407,7.330520720224844,-0.5291818602394374,8.115193568226165e-06,0.00843668008265974
PTGS2,9.158739852650472,7.858289899632808,1.3004499530176634,7.390686478437458e-06,0.00843668008265974
THOC7,9.708587630585084,9.944834202971725,-0.2362465723866407,7.797073091601566e-06,0.00843668008265974
CCR1,10.504862193328915,9.744687152135192,0.7601750411937225,1.2656981280570608e-05,0.012218507286207983
MRPS10,9.041397762267847,9.349739598261515,-0.3083418359936676,1.4961472314308952e-05,0.013480286555192365
KLF10,10.597700099309995,11.445208627186384,-0.8475085278763892,1.6903328934774987e-05,0.014278030659592747
GMPS,9.15881827636319,9.474344710087985,-0.31552643372479494,2.1925177318345975e-05,0.01743051596808505
CHTOP,9.656888845397273,9.372166699395551,0.2847221460017213,2.553909065537703e-05,0.01917560056707892
SSH3,6.677926792359012,6.259946620923756,0.41798017143525623,2.79509856648653e-05,0.01988197743477129
GAR1,9.210859601498665,8.976888876756542,0.23397072474212344,2.995856052762057e-05,0.0202444972765396
ZNF473,7.100608939333331,6.501153891829641,0.5994550475036906,3.705375364262393e-05,0.02384673716571726
ARHGAP25,10.60650559314222,10.114603490796098,0.4919021023461223,4.07356769460469e-05,0.02502466699662836
QKI,8.685690636303743,8.870921394860444,-0.1852307585567008,4.305169438067628e-05,0.025297549980645217
TOMM20,11.168657811868828,11.389454068608751,-0.22079625673992354,5.4869888069826904e-05,0.025571259905645193
CXCL1,6.924467345117027,6.059992562726556,0.864474782390471,5.199623394581552e-05,0.025571259905645193
RALBP1,9.290718476486786,8.98386188687097,0.3068565896158155,4.733511717393264e-05,0.025571259905645193
NGLY1,9.272113567553022,9.55099120419476,-0.27887763664173804,5.4821639565983604e-05,0.025571259905645193
PPP2R5E,9.88409791144829,10.13421304182938,-0.25011513038109,4.786332315482447e-05,0.025571259905645193
MTUS1,6.57233551770883,5.906061507969113,0.6662740097397171,4.9856119391756333e-05,0.025571259905645193
LPIN2,9.352775930817131,9.073159326882456,0.27961660393467547,6.634535895515931e-05,0.02892443633157994
GIMAP1-GIMAP5 /// GIMAP5,9.366745944855639,8.805046610747231,0.5616993341084076,6.631064795665419e-05,0.02892443633157994
SGK1,11.72813766850176,10.97240604934535,0.7557316191564105,7.053783295117096e-05,0.028955462496741226
OLA1,10.493272166409874,10.744579347711133,-0.25130718130125906,7.07014622561939e-05,0.028955462496741226
HLA-DQA1 /// HLA-DQA2 /// LOC100509457,12.662553440592484,11.970001440570448,0.6925520000220367,7.769089422275122e-05,0.030029105152640397
NACA,12.733161628227775,12.967204600877158,-0.23404297264938378,7.776682799425926e-05,0.030029105152640397
CD69,9.848127551554192,10.62059159113212,-0.7724640395779279,0.00010215021677058812,0.0321060506896395
ACADSB,5.081132797649588,6.022502150605078,-0.9413693529554896,9.324753003604768e-05,0.0321060506896395
SUMO3,10.344157275554002,10.62274329381863,-0.2785860182646278,8.879037263039745e-05,0.0321060506896395
WDR37,10.154239016186516,9.950058789475111,0.20418022671140434,9.683717201617956e-05,0.0321060506896395
GALNT1,9.615581671866222,9.785764101377994,-0.17018242951177243,9.864592850988235e-05,0.0321060506896395
FOSB,8.045206366396922,5.942916377665689,2.1022899887312327,0.00010202544837226217,0.0321060506896395
HCAR3,9.143711967284373,8.191768117204912,0.951943850079461,9.08364263183256e-05,0.0321060506896395
KIAA0319L,6.279492454763596,7.504849975520787,-1.225357520757191,9.615309032096293e-05,0.0321060506896395
NAT1,8.862237931955152,8.396993694885404,0.46524423706974716,0.00011317753973277185,0.03476351021564572
BTG2,10.105789654046447,9.596206517541232,0.5095831365052153,0.00012122502243594634,0.034967739230007136
