ID_REF,GSM228562,GSM228563,GSM228564,GSM228565,GSM228566,GSM228567,GSM228568,GSM228569,GSM228570,GSM228571,GSM228572,GSM228573,GSM228574,GSM228575,GSM228576,GSM228577,GSM228578,GSM228579,GSM228580,GSM228581,GSM228582,GSM228583,GSM228584,GSM228585,GSM228586,GSM228587,GSM228588,GSM228589,GSM228590,GSM228591,GSM228592,GSM228593,GSM228594,GSM228595,GSM228596,GSM228597,GSM228598,GSM228599,GSM228600,GSM228601,GSM228602,GSM228603,GSM228604,GSM228605,GSM228606,GSM228607,GSM228608,GSM228609,GSM228610,GSM228611,GSM228612,GSM228613,GSM228614,GSM228615,GSM228616,GSM228617,GSM228618,GSM228619,GSM228620,GSM228621,GSM228622,GSM228623,GSM228624,GSM228625,GSM228626,GSM228627,GSM228628,GSM228629,GSM228630,GSM228631,GSM228632,GSM228633,GSM228634,GSM228635,GSM228636,GSM228637,GSM228638,GSM228639,GSM228640,GSM228641,GSM228642,GSM228643,GSM228644,GSM228645,GSM228646,GSM228647,GSM228648,GSM228649,GSM228650,GSM228651,GSM228652,GSM228653,GSM228654,GSM228655,GSM228656,GSM228657,GSM228658,GSM228659,GSM228660,GSM228661,GSM228662,GSM228663,GSM228664,GSM228665,GSM228666,GSM254177,GSM254178,GSM254179,GSM254180,GSM254181,GSM254182,GSM254183,GSM254184,GSM254185,GSM254186,GSM254187,GSM254188,GSM254189,GSM254190,GSM254191,GSM254192,GSM254193,GSM254194,GSM254195,GSM254196,GSM254197,GSM254198,GSM254199,GSM254200,GSM254201,GSM254202,GSM254203,GSM254204,GSM254205,GSM254206,GSM254207,GSM254208,GSM254209,GSM254210,GSM254211,GSM254212,GSM254213,GSM254214,GSM254215,GSM254216,GSM254217,GSM254218,GSM254219,GSM254220,GSM254221,GSM254222,GSM254223,GSM254224,GSM254225,GSM254226,GSM254227,GSM254228,GSM254229,GSM254230,GSM254231,GSM254232,GSM254233,GSM254234,GSM254235,GSM254236,GSM254237,GSM254238,GSM254239,GSM254240,GSM254241,GSM254242,GSM254243,GSM254244,GSM254245,GSM254246,GSM254247,GSM254248,GSM254249,GSM254250,GSM254251,GSM254252,GSM254253,GSM254254,GSM254255,GSM254256,GSM254257,GSM254258,GSM254259,GSM254260,GSM254261,GSM254262,GSM254263,GSM254264,GSM254277,GSM254278,GSM254279,GSM254280,GSM254281,GSM254282,GSM254283,GSM254284,GSM254285,GSM254286,GSM254287,GSM254288,GSM254289,GSM254290,GSM254291,GSM254292,GSM254293
200000_s_at,1998.2,2012.1,1675.6,1880.6,2171.3,2202.7,2243.4,1898.1,2166.5,2246.0,3624.3,2426.8,2836.0,2793.0,2235.4,1919.2,1978.9,1910.9,1140.1,1537.7,2305.8,2167.5,2277.0,2415.3,2152.7,2462.3,1840.4,2640.3,2203.8,2308.1,2087.4,2098.6,2070.0,2879.6,1986.9,2717.6,1760.5,2309.2,3010.4,2429.2,2822.3,2866.8,2798.3,1760.6,2381.3,2470.8,2095.9,2775.3,2575.3,2498.0,3335.2,1458.7,2434.3,1935.4,2868.5,2787.0,2855.9,2989.7,2156.0,2391.7,2445.1,2812.0,3014.6,2333.5,3299.1,2857.9,2271.6,3116.7,2567.6,2518.1,2115.9,3101.8,2324.1,1947.0,2255.2,1571.7,2130.9,2011.9,2988.3,2847.2,2812.9,2492.2,2324.4,3056.4,2440.7,2347.8,2297.9,2078.3,2777.3,2539.1,1940.1,2237.7,1869.9,2253.6,1941.1,2635.6,2034.3,2322.6,2353.7,1942.5,1915.2,2506.7,2705.7,2712.7,2391.4,8016.0,8731.0,8032.8,7955.0,6785.9,3256.4,4021.0,6350.1,6076.0,7169.7,7061.4,6392.6,6697.9,4988.5,6593.4,6021.0,5502.5,8387.5,6556.6,5849.7,8544.8,6835.3,7045.2,5581.7,7408.4,10601.7,8272.8,7068.7,9490.2,8691.6,6634.4,6825.4,8658.8,7382.5,8789.2,7310.4,8127.2,7670.3,4166.4,6963.9,5577.0,9482.2,7696.4,10431.9,8957.4,6413.2,6810.7,7300.2,6584.1,6787.0,8141.7,8576.5,7561.9,8253.2,8801.1,6945.1,9213.2,5630.8,7245.3,6348.3,4790.6,6118.9,5319.6,6692.8,5678.4,7737.8,6816.4,9773.0,8236.9,8453.0,10203.9,7200.0,6492.5,5594.3,8094.2,7992.2,7068.6,7234.2,6739.7,7486.9,7749.5,5351.8,6458.4,6206.0,6515.3,7171.3,5073.7,6489.8,6612.3,6286.4,5961.7,6380.3,6967.1,6676.4,7827.1,8530.7,6386.0,6229.8,7213.1,6045.1,7268.8,6777.6,6923.9,6860.8,6867.0
200001_at,4978.8,4200.7,5234.0,4749.2,4386.8,2748.0,2794.2,2725.5,3424.6,3971.3,3785.2,4065.2,3466.3,5276.6,4087.1,3257.1,2874.5,3543.3,1814.1,2112.3,2605.7,3188.5,3077.6,4527.2,3266.2,3182.4,4103.6,2143.2,4254.0,2351.8,4740.2,3511.8,4604.7,2774.8,3186.2,3374.9,2384.1,3745.8,4187.3,3676.0,4604.8,5200.8,4131.4,3447.3,3631.5,3504.0,3538.9,4117.2,3959.1,3581.3,3887.0,3305.5,2897.4,2811.2,3917.0,5396.1,5215.0,5017.7,4281.4,2943.3,3911.7,2940.2,2781.7,3440.9,2810.2,3024.7,3907.1,4788.1,2591.1,5166.0,1904.4,2684.7,2807.3,2018.5,2279.9,1901.4,2920.2,2720.3,5354.1,5458.7,4294.9,3720.2,2634.2,4776.4,5167.0,2908.3,2594.4,3179.5,2792.4,3160.6,2880.6,3040.9,3587.6,3149.7,3759.7,2090.6,2932.4,3321.0,2989.9,2904.7,4195.5,3051.5,3035.4,2563.8,4051.7,12936.5,7876.1,12661.6,19142.4,8770.8,4731.1,6213.5,6984.0,12279.5,11664.1,13027.6,12395.9,11410.4,12350.0,5696.7,11872.6,7347.5,14377.9,12086.0,13657.2,7187.8,9091.6,13196.8,9278.0,14804.8,16444.8,10854.0,14159.2,12735.0,12106.6,12511.4,14863.8,13735.6,10278.7,12136.2,11574.3,9495.8,11393.5,10381.7,9073.0,10025.5,14440.3,13559.1,13463.5,15768.7,10940.7,8416.0,12417.9,8640.2,11280.7,10472.8,7317.5,8228.0,10498.6,14116.9,9954.0,18557.0,5673.6,7680.6,7446.9,6410.0,7134.2,7037.8,7007.2,6490.7,14159.8,12018.0,13439.2,6907.4,7101.6,16144.9,17538.6,8878.9,7193.2,11796.0,8296.7,9619.7,11793.3,6663.4,11328.7,11517.3,10030.1,4918.7,8337.3,9326.3,7787.2,6839.4,11926.1,16610.2,12436.3,10338.8,10178.2,12676.4,14712.3,13318.3,10170.9,10862.5,8918.5,9202.7,7817.8,6779.3,11206.5,15694.3,19707.7,12655.7
200002_at,16543.2,16420.3,15611.8,15403.3,21381.6,13719.7,14043.3,12436.7,19676.7,20262.1,26766.7,17810.9,22298.9,23841.7,21385.0,14299.4,14276.7,15268.0,11850.4,16166.1,15606.2,16556.1,15267.0,16425.3,15493.6,15660.5,14057.3,18227.1,12874.3,11189.3,11407.7,13633.5,13375.1,16703.8,17855.9,13848.7,14642.4,21443.6,19082.0,21311.9,21219.0,19696.6,19018.8,18179.6,21513.1,18373.2,15689.4,15964.8,17310.3,18940.8,20969.3,10799.1,20257.0,17770.9,22837.8,17151.6,19807.0,12736.7,20871.0,23095.0,17690.4,18549.9,19627.7,18044.8,21607.4,20367.8,21309.8,20217.9,22145.0,20164.7,19628.8,29692.9,17088.9,18839.1,18240.2,13828.0,18364.4,21416.3,14425.7,14501.9,26350.1,20096.8,21460.2,24242.0,19401.9,20686.0,19723.7,20747.2,18062.0,18089.8,16821.8,20994.8,22415.8,17124.9,13514.3,12232.9,20662.5,16912.8,14775.0,12845.0,15102.6,16617.4,25884.9,19283.0,16473.8,66093.2,56626.0,74160.5,63443.7,48923.7,35064.3,42399.0,43075.4,52960.2,44773.2,53608.7,49555.5,38257.6,33558.3,43627.9,35261.0,28370.2,37492.9,26780.7,40406.0,44192.1,51710.5,35006.5,41031.7,63533.7,64072.7,59353.0,55142.4,56762.8,52889.7,57348.5,53508.7,50413.0,55345.5,47630.2,58675.9,55343.6,64836.0,31434.7,56562.1,47351.9,62833.2,49910.7,61173.4,44075.2,59072.6,56653.2,63603.9,48120.7,51978.3,62714.8,54194.9,60088.8,62417.2,61131.1,55408.0,63221.4,49287.8,71040.7,45123.5,53360.1,54925.4,38251.6,48923.1,61700.8,43940.0,40767.1,79062.5,59003.0,52944.8,71857.3,59537.9,56039.8,56850.3,63763.3,49696.9,55846.6,50660.5,60718.0,67479.6,52844.8,45579.0,32199.2,64132.3,50399.9,46519.6,36408.2,48028.7,54791.6,44498.2,39822.7,36045.8,58658.8,61862.2,49952.7,56235.7,46786.0,39372.8,44309.2,60233.4,58675.8,55336.0,51724.0,59338.1,58731.4
200003_s_at,57258.9,60165.3,44753.9,49871.3,61642.8,38261.3,48523.7,38009.5,43439.1,46250.2,66527.8,36335.9,46756.7,69582.8,44824.5,33076.0,42717.6,40820.0,41390.6,54515.5,48085.6,40568.4,38431.4,41549.2,38257.0,45070.2,51065.8,56406.4,39524.3,44275.2,32047.8,59758.9,39414.9,53422.7,45551.0,50547.1,43326.7,52343.9,47295.7,66643.9,52154.4,44266.0,68298.3,51298.8,55737.9,53319.6,43702.3,53323.9,48092.0,51656.0,52969.0,38505.0,55708.8,52061.8,60469.5,37612.3,47151.9,40154.1,51231.3,60662.9,41143.4,60373.2,65928.7,47076.7,69326.9,50105.0,55791.7,39565.0,50118.3,41520.4,52638.1,67202.1,36345.4,54875.9,57434.0,42366.9,47051.0,52490.9,33259.3,35429.3,73799.9,52231.8,72456.6,59858.8,53542.2,52567.9,55199.2,57852.4,51930.6,49342.8,40758.2,48774.5,51677.4,49194.9,38564.0,45853.2,52503.4,44669.5,40010.5,37036.1,37447.3,42484.8,73462.0,50469.5,57199.5,153185.7,139307.7,150770.4,117060.6,119861.4,104832.5,120795.2,114803.5,119197.3,121011.1,125241.2,122183.7,120758.9,128966.1,127128.0,89870.0,98100.8,106616.6,121065.0,114794.7,121191.7,129941.2,111809.4,106599.2,130250.3,127681.8,171227.4,124078.2,120064.3,146024.0,135211.5,117263.0,109803.4,131017.3,149242.2,131155.2,125091.0,124461.5,103513.7,141886.1,120896.3,139600.6,111640.1,122303.0,105328.7,131677.7,147958.8,117049.6,125943.9,122860.0,132415.3,158042.6,133866.9,154762.8,113784.5,111012.0,117543.4,121829.2,162642.2,99622.6,137153.6,143618.9,118432.1,126643.6,134357.2,93337.7,75647.2,177161.8,140945.2,160341.7,172564.9,138189.3,136239.7,137330.3,146108.7,130431.2,125508.1,110675.9,145455.5,139378.2,135085.3,116160.7,81358.3,140298.8,122988.4,115410.0,102199.6,111625.0,151946.4,104800.7,114449.3,92550.5,139335.9,129765.7,94341.9,117841.1,99576.2,134922.2,105120.6,133361.4,129845.6,133736.9,134846.1,141118.1,150216.6
200004_at,9125.0,10196.3,8233.6,9307.8,8666.9,9394.3,10604.7,8392.0,8712.6,8331.0,6311.5,7949.9,7886.7,6196.7,8976.0,8738.7,9314.5,10126.7,8069.9,11142.3,8620.1,7540.8,8308.4,8053.2,6818.7,8729.3,8521.1,9241.4,8831.2,6754.2,7146.5,8850.7,7800.2,6863.8,8392.0,8006.9,8298.5,6043.8,6983.6,8365.0,7076.5,7549.9,6739.2,7562.9,8133.2,8193.5,8866.4,7714.6,8214.5,8087.2,7217.8,7045.2,8728.1,7653.7,6376.3,6874.0,6775.0,5981.2,7708.5,8038.7,8184.2,7568.1,8029.5,8069.2,8130.4,8195.0,8919.9,6931.2,7633.7,6773.4,8667.0,8148.5,7186.0,7517.4,7535.0,9137.4,9031.2,7626.3,7222.6,7366.4,8654.5,9188.6,8877.6,8939.4,6957.7,6776.8,6421.6,8871.4,6626.7,6679.5,9253.9,8031.8,7934.6,8442.0,8009.2,7513.7,7382.5,8746.4,8297.8,7816.2,8098.8,9533.3,8123.1,9925.8,8787.0,25483.4,17522.2,21681.9,26903.1,28076.3,23736.1,25317.3,25641.4,22007.1,24438.7,24994.6,21369.7,22841.8,21173.4,20428.0,22727.3,18967.4,23298.7,21292.0,20145.9,20114.9,23547.3,21846.5,22231.2,17855.6,20185.7,22458.8,16629.3,18666.1,16568.3,21988.3,18593.4,20268.1,20873.0,24292.5,27047.3,23473.7,22430.4,18501.4,21613.3,21448.6,23722.3,17799.6,18625.9,18496.5,23410.5,20648.9,23610.8,21251.4,21690.4,27896.1,21862.2,23577.1,27196.8,19469.5,18418.9,23205.1,21503.1,22868.3,24402.7,24469.6,21251.9,23287.7,18303.9,15679.8,18908.3,17049.8,25520.9,21784.1,17457.3,28413.1,21080.5,18310.2,16355.1,28151.2,20425.3,17648.0,26887.1,18631.9,21127.9,26760.4,27176.2,13062.4,19207.2,28686.0,25761.5,23958.1,24483.4,28751.5,26696.7,26501.2,20634.1,26480.8,24446.0,24181.9,20529.4,25574.0,27535.8,22381.4,15166.6,28400.7,29318.9,31070.7,25755.2,29797.1
200005_at,6008.8,4812.1,5224.8,5306.3,5796.5,6379.1,5865.5,4943.7,6083.8,5146.3,7766.4,4351.9,5453.8,6907.7,4642.5,4453.2,5655.3,6006.4,5476.1,6182.3,5589.3,5711.0,5449.5,6236.7,5860.3,5277.1,4386.3,5427.1,5084.5,4669.7,4963.2,5347.9,4845.2,5754.4,4506.1,5503.5,5480.4,6168.5,5508.9,5670.5,5344.6,4769.3,4910.5,5806.3,5097.4,4640.9,5214.5,5124.2,6338.9,6071.1,6675.8,4738.6,6123.8,4279.8,5652.5,4323.8,5543.8,4589.7,4906.4,5750.2,4995.9,6484.2,6049.9,4785.9,6221.9,5295.6,5861.5,5793.0,5437.0,5565.3,5202.2,6294.4,6499.2,5345.3,4542.8,4415.2,5108.8,5456.1,5006.2,4557.8,6411.4,6207.8,5576.1,5490.0,5451.9,6064.7,5320.6,4529.9,5244.5,5547.4,4600.2,6063.6,6238.2,4435.7,4674.9,4646.1,5979.4,4839.6,4430.0,4866.9,5273.0,4661.8,6369.4,5971.5,4491.0,20952.3,19400.9,22003.2,16172.9,19727.8,16634.2,16788.3,15816.7,19388.2,17864.6,22893.4,20977.4,14865.0,12691.3,12886.3,14286.7,11923.9,16126.2,14990.2,15625.9,13566.4,15870.3,16819.6,16041.9,17679.1,17738.4,16562.6,15406.2,16407.0,15625.2,19982.7,15414.6,16682.9,19413.3,16662.1,18133.0,17974.2,17729.6,14877.1,19557.5,14452.5,19057.9,14691.7,12944.9,14525.5,15432.7,13628.5,11543.1,16408.9,17335.1,17450.9,14053.6,17775.3,17027.7,18225.6,15794.6,18534.2,15427.2,19944.9,17328.2,14263.0,14479.5,11227.8,15068.2,16225.7,15823.3,12543.0,18604.7,16509.9,12651.5,19618.5,18404.1,16122.3,15083.9,16580.5,17535.1,15271.7,14292.1,18171.5,18690.8,14387.9,15209.8,12337.7,19017.8,14131.7,15266.6,14032.4,19567.4,18192.8,19572.6,18011.9,15941.6,21380.3,16769.3,12730.5,15972.4,13534.1,20324.4,12637.8,15072.5,17196.0,16234.3,17589.0,19780.7,17165.3
200006_at,5905.8,5995.4,6263.0,7457.3,6616.4,7477.9,6701.4,6154.0,6818.8,7117.7,3784.7,6902.4,4750.5,5587.0,7591.2,6090.1,7289.7,6831.7,8966.5,9748.0,6244.7,6779.0,7187.3,7401.4,7373.2,4657.1,3890.5,4292.6,6000.0,3423.2,6754.9,7191.0,7016.7,3833.9,8101.7,5816.5,5211.8,5552.1,4691.4,5463.7,4851.1,4682.0,5139.8,6813.9,4991.4,5024.3,7307.9,4398.5,7510.6,5882.6,5409.2,6667.1,6684.0,6441.1,5164.8,5753.0,5573.9,4675.8,7534.7,4928.0,7989.8,5344.7,4647.8,7414.2,5764.2,7663.7,7147.2,6245.5,4552.3,5763.8,7109.6,6364.0,6674.2,3696.2,5169.6,6853.6,6950.1,6961.6,5268.7,4634.2,4520.2,7643.1,5702.0,4619.0,5662.8,6466.5,6288.4,5348.8,4999.2,6245.8,6248.5,6602.8,6662.7,6156.9,7355.2,3798.3,5452.4,6263.2,6667.0,5741.9,7535.4,6560.5,5773.1,7397.1,6309.9,23918.8,10822.2,22589.2,25744.1,24351.4,24559.8,27586.2,17694.6,21262.2,25758.4,22154.1,24198.2,16620.6,14308.7,14268.0,15474.4,8857.8,19654.4,14838.8,18646.5,11058.1,21993.3,22513.3,22253.8,13747.6,13504.8,12582.4,15888.5,14115.5,12952.9,21691.0,16535.0,21198.7,21734.4,13521.5,22750.8,21008.0,18728.8,19217.0,20724.5,21839.8,22857.8,16101.4,12823.1,14354.3,19824.6,15149.7,24863.2,17825.8,18250.5,22869.2,16472.1,21438.0,22857.0,17007.3,19409.9,16382.9,23517.4,19708.6,21081.3,21572.7,18679.4,20797.2,16481.7,19245.6,14453.6,10449.3,17542.7,19046.9,15556.6,20318.4,19809.1,19562.0,11820.9,22789.7,19138.5,18091.6,19195.8,17490.4,26175.5,19671.8,23733.5,7113.4,21223.2,18410.9,19410.6,15400.7,25000.6,21332.9,24587.6,21320.2,18967.7,21702.0,22594.2,18893.8,17954.5,22266.4,15952.7,17146.0,14075.7,21818.5,26239.6,24653.4,22056.9,20816.3
200007_at,7927.8,7333.7,7894.1,7385.2,8979.0,9155.6,8798.1,7289.1,8166.4,8517.1,8584.8,7569.6,5955.5,6725.9,10712.8,6678.5,9632.0,7858.3,10389.4,10166.5,8006.0,7389.6,6469.1,8875.7,7498.8,6507.9,6252.2,7578.8,5715.8,5392.8,7006.2,7049.8,7614.9,4724.8,6505.4,5657.2,8360.8,10055.1,7654.5,7853.3,9088.7,8367.0,7392.8,7421.2,7927.0,7346.8,6635.4,7696.7,10074.4,10646.7,8692.2,6305.2,7121.9,9030.4,8685.8,6029.8,9920.0,6570.0,8734.2,7846.7,7960.4,5800.9,6637.8,7519.3,9998.1,7838.2,7987.8,8890.8,12315.2,9003.2,11838.7,8637.4,7399.2,8655.7,8549.3,8609.4,8349.5,10695.0,8280.7,6597.7,7271.8,9113.3,12212.2,11189.9,6669.3,10832.4,9396.5,9135.6,6932.0,6918.9,7238.6,9194.1,10270.4,7772.9,7417.5,6898.5,8368.4,7559.0,6582.6,5452.4,7081.9,7038.2,5783.9,7881.1,8397.1,24583.6,19180.6,26654.8,30690.0,24061.0,23587.3,24459.4,22957.2,24598.8,17326.1,29086.4,22578.7,22080.9,17216.4,17050.5,15545.0,13341.7,18958.1,19541.0,22092.4,13224.4,21802.3,20044.4,23947.4,21807.0,21976.8,24532.5,23626.2,18087.5,16159.0,28127.2,22178.0,17022.3,20421.6,16404.2,23499.6,21870.4,19783.0,21372.9,30656.2,26078.7,22841.4,17567.3,18013.3,18167.1,21882.0,21661.1,29521.1,18296.5,20799.3,22506.6,15882.7,22126.6,25366.5,17818.1,26074.2,19368.6,19806.4,27470.0,24472.4,24431.8,23585.2,17771.6,19469.4,26143.7,16361.4,14830.9,30569.6,18957.0,17681.6,36448.1,30240.4,24241.5,23367.1,27150.5,18512.7,16956.0,22451.3,19455.3,19804.6,22258.0,26551.3,14218.1,24671.2,20556.1,20335.3,20581.2,28802.8,19803.1,25721.4,18772.5,22526.8,32627.7,24050.2,21841.4,20873.8,19986.5,26893.5,21661.2,18298.9,23073.8,23056.6,18815.2,16564.0,28584.7
200008_s_at,3894.0,2557.2,5125.8,5042.2,4239.9,4467.5,5995.4,4800.6,4984.2,4540.8,1024.7,2225.1,3489.3,4967.1,4308.4,4886.0,4645.5,3888.2,4712.4,5017.6,4851.6,4542.4,4927.7,4983.3,5369.3,2648.3,3924.0,3004.3,4044.2,2935.8,3776.2,3703.7,3447.4,1871.5,3748.1,4754.3,5056.9,3400.8,3032.2,2740.1,2849.3,2838.5,2813.6,5352.3,4900.9,3172.1,3105.2,3603.9,2682.0,4562.2,3874.4,4553.2,3115.0,3673.6,4849.3,2343.7,2268.5,2417.8,4003.3,4232.5,2970.9,3435.1,4984.1,2519.4,2416.5,4446.3,3472.6,3619.2,2781.5,2292.9,3768.3,1976.9,4114.7,3967.2,3117.1,2533.1,1996.4,2488.9,2539.8,2377.4,3788.9,2538.0,2037.0,4866.3,2484.6,4295.5,3845.4,3968.1,3221.8,3699.1,3413.3,3785.2,3395.2,3545.9,3450.5,2159.9,3899.0,4187.1,3675.6,3988.7,4277.6,2377.5,2957.6,2465.6,5556.9,12830.2,2172.1,13772.1,12613.5,12995.1,12039.6,12462.8,9173.7,13310.4,13831.4,15198.4,17020.5,7973.1,10282.5,5682.3,10287.7,5558.7,10702.7,8835.0,10567.0,4368.6,10495.6,11676.7,11263.5,10740.6,9371.8,7213.0,7592.8,8564.1,7035.5,14416.1,12523.6,9331.9,11129.3,8972.5,7984.0,12105.2,9889.9,12353.3,8133.8,10592.4,12411.3,6442.2,6615.3,7052.8,11468.6,10774.5,8844.2,7838.9,11315.7,8080.1,6226.6,12032.7,9265.1,10664.3,8149.7,7915.8,9000.7,5446.1,12801.3,9338.8,8349.3,5673.5,6409.0,8187.3,7479.0,6180.3,9386.4,6288.5,5415.3,13459.7,7181.2,10850.0,9048.4,11169.7,10184.5,10472.8,9511.6,10511.6,11933.5,11086.1,8466.5,5616.3,11911.5,11451.2,8406.1,11398.1,13253.9,9891.1,10958.7,13440.7,13500.0,13669.9,13238.1,6060.3,8544.7,12841.2,12539.6,4465.0,6764.6,6432.2,12868.0,7221.6,17036.8,16045.8
200009_at,10825.1,8017.5,13728.4,11960.3,11204.4,7995.6,10620.7,9847.2,12185.6,10338.2,5105.8,9348.4,9112.6,14183.3,12248.1,9208.5,11137.2,8240.5,14315.6,12596.9,10520.7,9283.7,10728.4,9929.9,10828.7,6166.5,7907.3,5978.3,10090.1,7427.9,7841.3,7787.8,7707.0,10866.3,11780.9,11351.2,9113.1,9147.6,8401.2,11350.3,6955.1,7141.7,7127.1,12635.9,11144.1,9660.6,9237.1,8490.1,10442.7,11600.7,11574.8,10125.3,10941.9,9022.6,9332.3,6333.9,6529.7,5428.6,9950.2,9921.5,8699.1,8944.0,9330.2,8473.2,10727.0,11174.5,12122.3,9400.6,10110.2,7293.8,11039.7,11089.7,11796.4,9201.3,10320.4,9804.2,7323.7,9479.6,8216.8,7972.7,9304.5,10454.6,11972.8,12296.1,11921.1,7907.5,6699.8,8633.6,9835.7,8705.6,8514.8,8695.0,9159.7,8206.4,8219.5,6566.8,10148.1,11645.4,7965.2,9606.0,8906.8,8933.8,7824.7,9020.1,13694.6,36392.8,12675.5,47719.8,34560.7,32003.7,35898.9,33710.1,22858.0,27301.8,31754.8,32808.0,32386.9,22255.1,22597.6,15779.3,28600.7,18575.3,28814.4,19669.3,25098.8,25957.4,34652.5,28913.4,27580.7,26025.1,28147.9,25003.7,20210.1,20146.6,16564.7,39522.1,34368.2,30698.6,37416.3,25361.9,31183.5,32797.9,25314.9,28593.3,37867.0,28719.7,27433.8,23458.2,20238.8,17326.6,27564.5,26067.8,32591.4,24391.0,27357.3,26719.7,23656.7,34965.2,34731.7,27955.9,27767.5,21543.8,30811.4,37039.8,28757.9,29059.2,27734.4,28372.2,21164.2,26209.1,24648.0,19069.8,28696.9,29735.3,25347.9,39481.6,34988.0,28829.2,20930.2,31500.9,27912.4,29978.4,27896.7,26896.4,27245.4,30743.9,27056.2,15666.5,32128.9,34930.0,22447.2,25848.9,31596.3,35588.9,28518.6,30389.8,28374.4,39146.3,31230.9,24648.5,31514.4,32090.5,26781.3,25463.4,19923.9,26630.7,38860.6,23859.1,42545.5,48208.1
