Gene_Symbol,Frequenza_Selezione,Freq_Normalizzata,Boruta_Selezionato,Boruta_Tentativo,Boruta_Rank,Prob_EN,Log2FC_abs,Log2FC_Std,Punteggio_Consenso,Soddisfa_Criteri
EGR2,5.0,1.0,True,False,1,0.7,2.116945577213251,13.801960255033848,2.160196025503385,True
HLA-DRB4,1.0,0.2,False,False,56,0.288,2.902342255878817,19.31939879031234,2.147139879031234,False
FOSB,2.0,0.4,False,False,189,0.022,2.1022899887312327,13.69900424459431,1.5787004244594312,False
IL1B,5.0,1.0,True,False,1,0.216,1.2735096563187085,7.8767940576310345,1.3740794057631036,True
EGR3,5.0,1.0,True,False,1,0.126,1.1297497918847892,6.866876092098271,1.237087609209827,True
PTGS2,4.0,0.8,False,False,738,0.0,1.3004499530176634,8.066050563542417,1.2066050563542419,False
KIAA0319L,2.0,0.4,False,False,272,0.404,1.225357520757191,7.538523658073871,1.1154523658073872,False
IGLC1 /// IGLV3-10 /// IGLV3-10,1.0,0.2,False,False,7,0.104,1.5152938181528253,9.57533606571561,1.0991336065715611,False
HLA-DQA1 /// LOC100509457,0.0,0.0,True,False,1,0.008,1.6066685882716731,10.217246951642112,1.0249246951642113,False
HCAR3,2.0,0.4,False,False,766,0.0,0.951943850079461,5.6177832683483215,0.7617783268348322,False
RNF25,1.0,0.2,False,False,32,0.326,0.9053327928527182,5.290338996811734,0.7594338996811735,False
KRT23,0.0,0.0,False,False,1896,0.014,1.2124591954845192,7.447912481794248,0.7503912481794248,False
CCR1,1.0,0.2,False,False,101,0.506,0.7601750411937225,4.270600825702452,0.7294600825702453,False
PRG3,0.0,0.0,False,False,454,0.26,1.0311215266744425,6.174009155019011,0.7214009155019011,False
CXCR1,0.0,0.0,False,False,553,0.0,1.143364947650389,6.962523027112784,0.6962523027112785,False
