Gene_Symbol,Boruta_Selezionato,Boruta_Tentativo,Boruta_Rank
A1CF,False,False,7766
A2M,False,False,11681
A4GALT,False,False,9195
A4GNT,False,False,11681
AAAS,False,False,7766
AACS,False,False,4004
AADAC,False,False,7766
AAGAB,False,False,11681
AAK1,False,False,9587
AAMDC,False,False,9195
AAMP,False,False,7766
AANAT,False,False,11681
AAR2,False,False,11681
AARS,False,False,6116
AARSD1 /// PTGES3L /// PTGES3L-AARSD1,False,False,7766
AASDHPPT,False,False,7766
AASS,False,False,7766
AATF,False,False,141
AATK,False,False,307
ABAT,False,False,1635
ABCA1,False,False,7766
ABCA11P,False,False,215
ABCA12,False,False,11681
ABCA2,False,False,6116
ABCA3,False,False,11681
ABCA4,False,False,5102
ABCA5,False,False,4264
ABCA6,False,False,7766
ABCA7,False,False,3456
ABCA8,False,False,7766
ABCB1,False,False,11681
ABCB1 /// ABCB4,False,False,11681
ABCB11,False,False,4004
ABCB4,False,False,5102
ABCB6,False,False,2218
ABCB7,False,False,615
ABCB8,False,False,3456
ABCB8 /// ASIC3,False,False,4004
ABCB9,False,False,4004
ABCC1,False,False,7766
ABCC10,False,False,11681
ABCC2,False,False,177
ABCC3,False,False,9587
ABCC4,False,False,7766
ABCC5,False,False,105
ABCC6 /// ABCC6P1 /// ABCC6P2 /// LOC101930322,False,False,11681
ABCC6 /// LOC101930322,False,False,7766
ABCC8,False,False,6116
ABCC9,False,False,7766
ABCD1,False,False,11681
ABCD1P2 /// ABCD1P2,False,False,7766
ABCD2,False,False,11681
ABCD3,False,False,1051
ABCD4,False,False,11681
ABCE1,False,False,2642
ABCF1,False,False,1010
ABCF2,False,False,3456
ABCF3,False,False,3456
ABCG1,False,False,5102
ABCG2,False,False,7766
ABCG4,False,False,11681
ABCG5,False,False,9587
ABHD10,False,False,3456
ABHD11,False,False,7766
ABHD14A /// ACY1,False,False,7766
ABHD14A-ACY1 /// ACY1,False,False,2449
ABHD17A,False,False,11681
ABHD17B,False,False,1213
ABHD2,False,False,7766
ABHD3,False,False,7766
ABHD4,False,False,11681
ABHD5,False,False,7766
ABHD6,False,False,7766
ABHD8,False,False,6116
ABI1,False,False,3456
ABI2,False,False,7766
ABI3BP,False,False,9587
ABL1,False,False,11681
ABL2,False,False,5102
ABLIM1,False,False,5102
ABLIM3,False,False,7766
ABO,False,False,1195
ABR,False,False,6116
ABT1,False,False,3456
ABTB2,False,False,11681
AC002310.7 /// ZNF785,False,False,9587
AC003989.4,False,False,11681
AC004490.1 /// AX746733,False,False,7766
AC004692.5,False,False,11681
AC004941.5,False,False,5102
AC005838.2,False,False,7766
AC007292.3,False,False,4004
AC007389.3,False,False,7766
AC007967.3 /// RBMY2TP /// RBMY2TP,False,False,9587
AC009237.8 /// AK055967,False,False,5102
AC009947.3 /// RBMY2AP /// RBMY2AP /// RBMY2BP /// RBMY2BP /// RBMY2DP /// RBMY2DP,False,False,4004
AC012065.7,False,False,4004
AC068039.4,False,False,3456
AC074212.6,False,False,11681
AC084219.3,False,False,6116
AC104537.2 /// TCEB1P28,False,False,11681
